 time[s], u[ft/s], v[ft/s], w[ft/s], p[rad/s], q[rad/s], r[rad/s], xf[ft], yf[ft], zf[ft], e0, ex, ey, ez
  0.15500000000000005      ,   205.44990420242104      ,   3.7682518727472551      ,  0.13350901573992857      ,   107.22444298653249      ,  -1.6565568950212918E-002 ,  0.10170751513221171      ,   32.154773157352729      ,  0.15033304812707318      ,  -6.2401592757727773      ,  0.72582860435311181      ,  0.68666734424073761      ,   2.9454883892586308E-002 ,  -2.8163900139375486E-002
  0.16000000000000006      ,   205.30953152072209      ,   3.3512217910709703      ,  -1.8429216820347687      ,   107.19275142890578      ,   3.9362351130839475E-002 ,  0.10111910948143889      ,   33.181782495180073      ,  0.19072022653407766      ,  -6.2540221195052741      ,  0.51808283557792867      ,  0.85437151736778738      ,   2.0784989661597093E-002 ,  -3.4748668966805292E-002
  0.16500000000000006      ,   205.16525430458947      ,   1.9572692563835019      ,  -3.3398802271286607      ,   107.15366179962619      ,   8.9571276217973561E-002 ,   7.0534857313377927E-002 ,   34.208882883278783      ,  0.22069781877364461      ,  -6.2482284102562371      ,  0.27342615221696437      ,  0.96105198016117688      ,   1.0739613932837448E-002 ,  -3.8754243698981186E-002
  0.17000000000000007      ,   205.01675809045520      ,  -3.1876302432988002E-002 ,  -3.9101895918709095      ,   107.10806486307317      ,  0.11844932595830553      ,   1.6055559103459537E-002 ,   35.235709703048030      ,  0.23210368238970011      ,  -6.2309152835535100      ,   9.3598352040997618E-003 ,  0.99915881892732439      ,   6.5667379065977358E-005 ,  -3.9925477235740206E-002
  0.17500000000000007      ,   204.86858134467465      ,  -2.0513655314024790      ,  -3.3686728662861007      ,   107.05691398760436      ,  0.11532078068743748      ,  -4.8404433032490139E-002 ,   36.261800282746435      ,  0.22212098159192059      ,  -6.2131617778628314      , -0.25526293833294950      ,  0.96605945619294264      ,  -1.0454270548014658E-002 ,  -3.8218681834068069E-002
  0.18000000000000008      ,   204.72541854281943      ,  -3.5167015057017874      ,  -1.8520712822303502      ,   107.00146479812496      ,   7.8149982477436208E-002 , -0.10464541988185676      ,   37.286738094459984      ,  0.19397111541582271      ,  -6.2058289257176753      , -0.50159337066543253      ,  0.86421010234735829      ,  -2.0060605854814301E-002 ,  -3.3801798739066656E-002
  0.18500000000000008      ,   204.58706849191461      ,  -3.9958050080235821      ,  0.21592720807420340      ,   106.94297203907097      ,   1.4908883203529538E-002 , -0.13532543662218630      ,   38.310259340004805      ,  0.15589517481186344      ,  -6.2165277470613951      , -0.71213498824468979      ,  0.70095976569915586      ,  -2.8072731527107913E-002 ,  -2.7038622992434022E-002
  0.19000000000000009      ,   204.44851607971859      ,  -3.3382199887443265      ,   2.2453479243413788      ,   106.88219328145603      ,  -5.7995497323047318E-002 , -0.12925880960091513      ,   39.332301838934399      ,  0.11875409929243429      ,  -6.2475617029614279      , -0.87198513342314909      ,  0.48800554363525844      ,  -3.3938120437726489E-002 ,  -1.8458614558602950E-002
  0.19500000000000009      ,   204.30521773414156      ,  -1.7224140837380646      ,   3.6511903273543007      ,   106.81926302497584      , -0.11997340272300513      ,  -8.5259694731674093E-002 ,   40.353005591800454      ,   9.2948615551255456E-002 ,  -6.2953929840293812      , -0.96988354699964419      ,  0.24054278254306752      ,  -3.7270975157500642E-002 ,  -8.7148973967885995E-003
  0.20000000000000009      ,   204.15799410139255      ,  0.39362968168513035      ,   4.0247602198431558      ,   106.75410895696304      , -0.15208406867241414      ,  -1.3254006530940887E-002 ,   41.372677243426295      ,   8.5529230150406782E-002 ,  -6.3517495268073709      , -0.99899717404817534      ,  -2.3827915329413574E-002 ,  -3.7877789138161373E-002 ,   1.4662144518767487E-003
