 time[s], u[ft/s], v[ft/s], w[ft/s], p[rad/s], q[rad/s], r[rad/s], xf[ft], yf[ft], zf[ft], e0, ex, ey, ez
   9.9999999999999992E-002 ,   318.04748663037054      ,  -2.8297233189530347E-003 ,   82.840820720408729      ,   2.6573989440634366E-005 ,   2.1167136167019982      ,   2.6709442144223224E-004 ,   32.931750350726617      ,   2.6052192793668219E-008 ,  -999.82554139123579      ,  0.99254656499370730      ,   8.1447081249125316E-007 ,  0.12186597678882850      ,   4.4535006082416910E-006
  0.10999999999999999      ,   315.91666584403379      ,  -3.7334064484482298E-003 ,   90.154860150604151      ,   3.1715423218157863E-005 ,   2.3198270689098273      ,   3.2155877624712349E-004 ,   36.217492369109920      ,   3.9437324851583766E-008 ,  -999.78951046534291      ,  0.99113380361142467      ,   1.0888301224185951E-006 ,  0.13286754044053570      ,   5.9031418356724125E-006
  0.11999999999999998      ,   313.42147777727280      ,  -4.8009535991768377E-003 ,   98.046012843974310      ,   3.7296181998699684E-005 ,   2.5214957036437995      ,   3.8072359793362825E-004 ,   39.501897772602433      ,   5.7799055613908273E-008 ,  -999.75023593920730      ,  0.98945302511890809      ,   1.4214158795625018E-006 ,  0.14485410254040915      ,   7.6310984100088528E-006
  0.12999999999999998      ,   310.51745873652368      ,  -6.0409928200267308E-003 ,   106.48963036937934      ,   4.3360084806007436E-005 ,   2.7217458301850956      ,   4.4449684365371845E-004 ,   42.784968329042577      ,   8.2466129057321430E-008 ,  -999.70775578538496      ,  0.98746922058169151      ,   1.8194619823291530E-006 ,  0.15781171790198878      ,   9.6591684065295546E-006
  0.13999999999999999      ,   307.15785015182593      ,  -7.4602747026403429E-003 ,   115.45760879304042      ,   4.9972178205874613E-005 ,   2.9206032292732114      ,   5.1278424096748096E-004 ,   46.066704482871081      ,   1.1503758873792120E-007 ,  -999.66210921819345      ,  0.98514488412616696      ,   2.2909506657305310E-006 ,  0.17172523731412870      ,   1.2008285969596284E-005
  0.14999999999999999      ,   303.29396267630079      ,  -9.0633743369614925E-003 ,   124.91798841505134      ,   5.7220345658150781E-005 ,   3.1180931249274932      ,   5.8548873525283225E-004 ,   49.347105067365568      ,   1.5743526723301132E-007 ,  -999.61333668999544      ,  0.98244012499896516      ,   2.8447325670833723E-006 ,  0.18657813528889747      ,   1.4698409164765702E-005
  0.16000000000000000      ,   298.87558507800071      ,  -1.0852357530857381E-002 ,   134.83455064935686      ,   6.5216572102715727E-005 ,   3.3142401554124685      ,   6.6250977796361197E-004 ,   52.626167006202202      ,   2.1196739137279781E-007 ,  -999.56147988860732      ,  0.97931278678646771      ,   3.4906452285098226E-006 ,  0.20235232963653388      ,   1.7748387807473116E-005
  0.17000000000000001      ,   293.85144215126996      ,  -1.2826411970674665E-002 ,   145.16641851046998      ,   7.4097855241362788E-005 ,   3.5090683433689041      ,   7.4374245904326383E-004 ,   55.903885004675431      ,   2.8140510010163383E-007 ,  -999.50658173577881      ,  0.97571857492157688      ,   4.2396267346885792E-006 ,  0.21902799384238050      ,   2.1175809431768404E-005
  0.18000000000000002      ,   288.16970553666516      ,  -1.4981445550395503E-002 ,   155.86766786125125      ,   8.4026754444605460E-005 ,   3.7026010651314207      ,   8.2907649047612737E-004 ,   59.180251230908858      ,   3.6907373952729201E-007 ,  -999.44868638667356      ,  0.97161119362204673      ,   5.1038208777667922E-006 ,  0.23658336327276205      ,   2.4996821873589251E-005
  0.19000000000000003      ,   281.77856086859794      ,  -1.7309655934454080E-002 ,   166.88695730583919      ,   9.5191567860918990E-005 ,   3.8948610192531050      ,   9.1839505145454962E-004 ,   62.455254987395513      ,   4.7896081394212746E-007 ,  -999.38783923027563      ,  0.96694249341250682      ,   6.0966699315737385E-006 ,  0.25499453629809410      ,   2.9225931343782486E-005
  0.20000000000000004      ,   274.62683405667792      ,  -1.9799077543670614E-002 ,   178.16718536637788      ,   1.0780612829465755E-004 ,   4.0858701942579581      ,   1.0115735089290896E-003 ,   65.728882373214589      ,   6.1584241743927861E-007 ,  -999.32408689063152      ,  0.96166263038027677      ,   7.2329908172135633E-006 ,  0.27423527149183929      ,   3.3875775359080323E-005
